Computer Name,Windows Version,Corrections needed
DFWCAL07553,10.0.19045.5237,Remove - Possibly decommissioned
DFWCAL01416,10.0.19045.5237,Remove - Possibly decommissioned
DFWCAL01421,10.0.19045.3930,Remove - Possibly decommissioned
DFWCAL01530,10.0.19045.5237,Remove - Possibly decommissioned
DFWCAL02973,10.0.19045.5237,Remove - Possibly decommissioned
DFWCAL02775,10.0.19045.5237,Remove - Possibly decommissioned
DFWCAL03443,10.0.19045.5237,Remove - Possibly decommissioned
DFWCAL03144,10.0.22000.2195,Remove - Possibly decommissioned
DFWCAL03612,10.0.18045.5131,Remove - Possibly decommissioned
DFWCAL03597,10.0.18352.720,Remove - Possibly decommissioned
DFWCAL03241,,Remove - Possibly decommissioned
DFWCAL04835,10.0.19045.5237,Remove - Possibly decommissioned
