NormalizedName,Asset_Type,Primary_IP,OS_Type_Version,Role_Description,In_AD,In_Servers,In_Workstations,In_IP_Tracker,In_Scanner
GCDFWWDC1P,Unknown,20.300.40.252,Windows Server 2019 Datacenter,,True,False,False,False,False
DFWWDC1P,Unknown,20.200.40.252,Windows Server 2019 Datacenter,,True,False,False,False,False
SOFTWARE-DLOXT0,Unknown,,Windows 7 Professional,,True,False,False,False,False
DFWCAL00504,Unknown,,Windows 7 Enterprise,,True,False,False,False,False
DFWCAL00507,Unknown,,Windows 7 Enterprise,,True,False,False,False,False
DFWCAL01575,Unknown,20.7.10.116,Windows 10 Enterprise,,True,False,False,False,False
VDIACC02,Unknown,,Windows 7 Enterprise,,True,False,False,False,False
SCO,Unknown,,Windows 7 Enterprise,,True,False,False,False,False
DFWCAL02495,Unknown,,Windows 7 Enterprise,,True,False,False,False,False
VDIACCTOOLSLYNC,Unknown,,Windows 7 Enterprise,,True,False,False,False,False
TESTENS1T,Unknown,,Windows 7 Enterprise,,True,False,False,False,False
TESTENS2T,Unknown,,Windows 7 Enterprise,,True,False,False,False,False
GC2012TEMPLATE,Unknown,,Windows Server 2012 R2 Datacenter,,True,False,False,False,False
WIN2016TEMPLATE,Unknown,,Windows Server 2016 Datacenter,,True,False,False,False,False
DFWCAL04551,Unknown,,Windows 10 Enterprise,,True,False,False,False,False
DFWCAL04255,Unknown,,Windows 10 Enterprise,,True,False,False,False,False
DFWCAL04639,Unknown,,Windows 10 Enterprise,,True,False,False,False,False
DFWCAL03819,Unknown,,Windows 10 Enterprise,,True,False,False,False,False
DFWCAL04730,Unknown,20.9.40.27,Windows 10 Enterprise,,True,False,False,False,False
DFWCAL04029,Unknown,,Windows 10 Enterprise,,True,False,False,False,False
DFWSCCM2P,Unknown,20.200.40.228,Windows Server 2016 Datacenter,,True,False,False,False,False
DFWCAL01430,Unknown,20.9.40.200,Windows 10 Enterprise,,True,False,False,False,False
DFWCAL01660,Unknown,,Windows 10 Enterprise,,True,False,False,False,False
DFWCAL02492,Unknown,,Windows 7 Enterprise,,True,False,False,False,False
DFWSCSQL4P,Unknown,20.200.40.234,Windows Server 2016 Datacenter,,True,False,False,False,False
GCDFWVMVC1DR,Unknown,20.300.40.200,unknown,,True,False,False,False,False
DFWCAL02572,Unknown,20.9.65.24,Windows 10 Enterprise,,True,False,False,False,False
DFWCAL03393,Unknown,,Windows 7 Enterprise,,True,False,False,False,False
DFWCAL02885,Unknown,20.9.40.39,Windows 10 Enterprise,,True,False,False,False,False
DFWCAL02481,Unknown,,Windows 7 Enterprise,,True,False,False,False,False
DFWCAL02359,Unknown,,Windows 7 Enterprise,,True,False,False,False,False
DFWCAL02883,Unknown,20.9.40.69,Windows 10 Enterprise,,True,False,False,False,False
